Model,Accuracy,Recall,Precision,F1,Train Accuracy,F1 control,F1 scarcity,Recall control,Recall scarcity,Precision control,Precision scarcity
MultinomialNB,0.9047619047619048,0.9027777777777777,0.9027777777777777,0.9027777777777777,0.9102941176470589,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888
SVC,0.9047619047619048,0.8958333333333334,0.9110576923076923,0.9011764705882352,0.9169117647058822,0.9199999999999999,0.8823529411764706,0.9583333333333334,0.8333333333333334,0.8846153846153846,0.9375
VotingClassifier,0.9047619047619048,0.8958333333333334,0.9110576923076923,0.9011764705882352,0.9169117647058822,0.9199999999999999,0.8823529411764706,0.9583333333333334,0.8333333333333334,0.8846153846153846,0.9375
LogisticRegression,0.8809523809523809,0.8680555555555556,0.8925925925925926,0.875222816399287,0.9224264705882353,0.9019607843137256,0.8484848484848485,0.9583333333333334,0.7777777777777778,0.8518518518518519,0.9333333333333333
VotingClassifier_NoTuning,0.8809523809523809,0.8680555555555556,0.8925925925925926,0.875222816399287,0.9047794117647058,0.9019607843137256,0.8484848484848485,0.9583333333333334,0.7777777777777778,0.8518518518518519,0.9333333333333333
RandomForestClassifier,0.8809523809523809,0.8680555555555556,0.8925925925925926,0.875222816399287,0.8808823529411764,0.9019607843137256,0.8484848484848485,0.9583333333333334,0.7777777777777778,0.8518518518518519,0.9333333333333333
SGDClassifier,0.8571428571428571,0.8611111111111112,0.8545454545454545,0.8558352402745996,0.8977941176470587,0.8695652173913043,0.8421052631578948,0.8333333333333334,0.8888888888888888,0.9090909090909091,0.8
DecisionTreeClassifier,0.8571428571428571,0.8472222222222222,0.8605769230769231,0.851764705882353,0.8926470588235293,0.8799999999999999,0.823529411764706,0.9166666666666666,0.7777777777777778,0.8461538461538461,0.875
GradientBoostingClassifier,0.8571428571428571,0.8402777777777778,0.875,0.8485576923076924,0.8632352941176471,0.8846153846153847,0.8125000000000001,0.9583333333333334,0.7222222222222222,0.8214285714285714,0.9285714285714286
KNN,0.7857142857142857,0.7916666666666667,0.7857142857142857,0.7846153846153845,0.9161764705882354,0.7999999999999999,0.7692307692307692,0.75,0.8333333333333334,0.8571428571428571,0.7142857142857143
KNN Baseline,0.7142857142857143,0.6736111111111112,0.7757352941176471,0.6657824933687003,0.6172794117647059,0.7931034482758621,0.5384615384615385,0.9583333333333334,0.3888888888888889,0.6764705882352942,0.875
